siren_epci,nom_complet,form_epci,insee,nom_com,pop_total
240100883,CC de la Plaine de l'Ain,CC,01041,Bettant,181299
200070555,CC de la Veyle,CC,01042,Bey,155357
240100800,CC de Miribel et du Plateau,CC,01043,Beynost,291449
240100891,CC du Pays Bellegardien (CCPB),CC,01044,Billiat,182883
200069193,CC de la Dombes,CC,01045,Birieux,49358
200070555,CC de la Veyle,CC,01046,Biziat,40097
240100883,CC de la Plaine de l'Ain,CC,01047,Blyes,125093
240100610,CC de la Côtière à Montluel,CC,01049,La Boisse,188655
200071371,CC Bresse et Saône,CC,01050,Boissey,91000
200042935,CA Haut - Bugey Agglomération,CA,01051,Bolozon,89107
200069193,CC de la Dombes,CC,01052,Bouligneux,232897
200071751,CA du Bassin de Bourg-en-Bresse,CA,01053,Bourg-en-Bresse,205965
240100883,CC de la Plaine de l'Ain,CC,01054,Bourg-Saint-Christophe,80900
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01056,Boyeux-Saint-Jérôme,13578
200071371,CC Bresse et Saône,CC,01057,Boz,287532
200040350,CC Bugey Sud,CC,01058,Brégnier-Cordon,197128
200042935,CA Haut - Bugey Agglomération,CA,01060,Brénod,153010
200040350,CC Bugey Sud,CC,01061,Brens,159094
240100610,CC de la Côtière à Montluel,CC,01062,Bressolles,119960
200042935,CA Haut - Bugey Agglomération,CA,01063,Brion,71028
240100883,CC de la Plaine de l'Ain,CC,01064,Briord,98596
200071751,CA du Bassin de Bourg-en-Bresse,CA,01065,Buellas,244512
200040350,CC Bugey Sud,CC,01066,La Burbanche,258386
200042935,CA Haut - Bugey Agglomération,CA,01067,Ceignes,267299
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01068,Cerdon,8946
200071751,CA du Bassin de Bourg-en-Bresse,CA,01069,Certines,65123
240100750,CA du Pays de Gex,CA,01071,Cessy,157683
200071751,CA du Bassin de Bourg-en-Bresse,CA,01072,Ceyzériat,15278
200040350,CC Bugey Sud,CC,01073,Ceyzérieu,49551
200069193,CC de la Dombes,CC,01074,Chalamont,117228
200070118,CC Val de Saône Centre,CC,01075,Chaleins,263059
240100883,CC de la Plaine de l'Ain,CC,01076,Chaley,297391
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01077,Challes-la-Montagne,40594
240100750,CA du Pays de Gex,CA,01078,Challex,235188
200040350,CC Bugey Sud,CC,01079,Champagne-en-Valromey,239951
200042935,CA Haut - Bugey Agglomération,CA,01080,Champdor-Corcelles,100192
240100891,CC du Pays Bellegardien (CCPB),CC,01081,Champfromier,55883
240100891,CC du Pays Bellegardien (CCPB),CC,01082,Chanay,153980
200069193,CC de la Dombes,CC,01083,Chaneins,72215
200070555,CC de la Veyle,CC,01084,Chanoz-Châtenay,275360
200069193,CC de la Dombes,CC,01085,La Chapelle-du-Châtelard,258862
200042935,CA Haut - Bugey Agglomération,CA,01087,Charix,15149
240100883,CC de la Plaine de l'Ain,CC,01088,Charnoz-sur-Ain,182370
240100883,CC de la Plaine de l'Ain,CC,01089,Château-Gaillard,137394
200069193,CC de la Dombes,CC,01090,Châtenay,225041
200069193,CC de la Dombes,CC,01092,Châtillon-la-Palud,101931
200069193,CC de la Dombes,CC,01093,Châtillon-sur-Chalaronne,201123
200071371,CC Bresse et Saône,CC,01094,Chavannes-sur-Reyssouze,189800
200071751,CA du Bassin de Bourg-en-Bresse,CA,01095,Nivigne et Suran,40139
200070555,CC de la Veyle,CC,01096,Chaveyriat,145159
200040350,CC Bugey Sud,CC,01098,Chazey-Bons,233588
240100883,CC de la Plaine de l'Ain,CC,01099,Chazey-sur-Ain,61944
200040350,CC Bugey Sud,CC,01100,Cheignieu-la-Balme,137358
200042935,CA Haut - Bugey Agglomération,CA,01101,Chevillard,270353
200071371,CC Bresse et Saône,CC,01102,Chevroux,161456
240100750,CA du Pays de Gex,CA,01103,Chevry,24697
240100750,CA du Pays de Gex,CA,01104,Chézery-Forens,75628
200042497,CC Dombes Saône Vallée,CC,01105,Civrieux,93188
200071751,CA du Bassin de Bourg-en-Bresse,CA,01106,Cize,299043
240100883,CC de la Plaine de l'Ain,CC,01107,Cleyzieu,44357
200071751,CA du Bassin de Bourg-en-Bresse,CA,01108,Coligny,298213
240100750,CA du Pays de Gex,CA,01109,Collonges,265261
200040350,CC Bugey Sud,CC,01110,Colomieu,201407
240100883,CC de la Plaine de l'Ain,CC,01111,Conand,51215
200042935,CA Haut - Bugey Agglomération,CA,01112,Condamine,7887
200069193,CC de la Dombes,CC,01113,Condeissiat,64781
240100891,CC du Pays Bellegardien (CCPB),CC,01114,Confort,219835
200071751,CA du Bassin de Bourg-en-Bresse,CA,01115,Confrançon,296394
200040350,CC Bugey Sud,CC,01116,Contrevoz,245967
200040350,CC Bugey Sud,CC,01117,Conzieu,257515
200070852,CC Usses et Rhône,CC,01118,Corbonod,63694
200042935,CA Haut - Bugey Agglomération,CA,01121,Corlier,228455
200070555,CC de la Veyle,CC,01123,Cormoranche-sur-Saône,52632
200071751,CA du Bassin de Bourg-en-Bresse,CA,01124,Cormoz,176921
200071751,CA du Bassin de Bourg-en-Bresse,CA,01125,Corveissiat,278203
200071751,CA du Bassin de Bourg-en-Bresse,CA,01127,Courmangoux,9449
200071751,CA du Bassin de Bourg-en-Bresse,CA,01128,Courtes,175577
200069193,CC de la Dombes,CC,01129,Crans,259090
200071751,CA du Bassin de Bourg-en-Bresse,CA,01130,Bresse Vallons,164805
200040350,CC Bugey Sud,CC,01133,Cressin-Rochefort,253864
200070555,CC de la Veyle,CC,01134,Crottet,227572
240100750,CA du Pays de Gex,CA,01135,Crozet,272599
200070555,CC de la Veyle,CC,01136,Cruzilles-lès-Mépillat,289812
200040350,CC Bugey Sud,CC,01138,Culoz,248093
200071751,CA du Bassin de Bourg-en-Bresse,CA,01139,Curciat-Dongalon,31537
200071751,CA du Bassin de Bourg-en-Bresse,CA,01140,Curtafond,36050
200040350,CC Bugey Sud,CC,01141,Cuzieu,52569
240100610,CC de la Côtière à Montluel,CC,01142,Dagneux,107725
240100750,CA du Pays de Gex,CA,01143,Divonne-les-Bains,28801
200071751,CA du Bassin de Bourg-en-Bresse,CA,01145,Dompierre-sur-Veyle,91490
200069193,CC de la Dombes,CC,01146,Dompierre-sur-Chalaronne,141812
200071751,CA du Bassin de Bourg-en-Bresse,CA,01147,Domsure,60064
200042935,CA Haut - Bugey Agglomération,CA,01148,Dortan,127543
240100883,CC de la Plaine de l'Ain,CC,01149,Douvres,295457
200071751,CA du Bassin de Bourg-en-Bresse,CA,01150,Drom,282890
200071751,CA du Bassin de Bourg-en-Bresse,CA,01151,Druillat,124926
200042935,CA Haut - Bugey Agglomération,CA,01152,Échallon,289038
240100750,CA du Pays de Gex,CA,01153,Échenevex,175841
200042935,CA Haut - Bugey Agglomération,CA,01155,Évosges,284401
240100883,CC de la Plaine de l'Ain,CC,01156,Faramans,212785
200042497,CC Dombes Saône Vallée,CC,01157,Fareins,49043
240100750,CA du Pays de Gex,CA,01158,Farges,252187
200071371,CC Bresse et Saône,CC,01159,Feillens,65240
240100750,CA du Pays de Gex,CA,01160,Ferney-Voltaire,290921
200040350,CC Bugey Sud,CC,01162,Flaxieu,175709
200071751,CA du Bassin de Bourg-en-Bresse,CA,01163,Foissiat,129429
200070118,CC Val de Saône Centre,CC,01165,Francheleins,167332
200042497,CC Dombes Saône Vallée,CC,01166,Frans,130197
200070118,CC Val de Saône Centre,CC,01167,Garnerans,43575
200070118,CC Val de Saône Centre,CC,01169,Genouilleux,30459
200042935,CA Haut - Bugey Agglomération,CA,01170,Béard-Géovreissiat,210249
200042935,CA Haut - Bugey Agglomération,CA,01171,Géovreisset,7582
240100750,CA du Pays de Gex,CA,01173,Gex,60695
240100891,CC du Pays Bellegardien (CCPB),CC,01174,Giron,66245
200071371,CC Bresse et Saône,CC,01175,Gorrevod,61602
200071751,CA du Bassin de Bourg-en-Bresse,CA,01177,Grand-Corent,227489
200070555,CC de la Veyle,CC,01179,Grièges,32537
240100750,CA du Pays de Gex,CA,01180,Grilly,203506
200042935,CA Haut - Bugey Agglomération,CA,01181,Groissiat,41473
200070118,CC Val de Saône Centre,CC,01183,Guéreins,238376
200071751,CA du Bassin de Bourg-en-Bresse,CA,01184,Hautecourt-Romanèche,122233
200042935,CA Haut - Bugey Agglomération,CA,01185,Plateau d'Hauteville,244244
200040350,CC Bugey Sud,CC,01187,Haut Valromey,275270
200070118,CC Val de Saône Centre,CC,01188,Illiat,85006
240100891,CC du Pays Bellegardien (CCPB),CC,01189,Injoux-Génissiat,6795
240100883,CC de la Plaine de l'Ain,CC,01190,Innimond,288675
200042935,CA Haut - Bugey Agglomération,CA,01191,Izenave,17197
200042935,CA Haut - Bugey Agglomération,CA,01192,Izernore,281029
200040350,CC Bugey Sud,CC,01193,Izieu,248269
200040590,CA Villefranche Beaujolais Saône,CA,01194,Jassans-Riottier,148285
200071751,CA du Bassin de Bourg-en-Bresse,CA,01195,Jasseron,106129
200071751,CA du Bassin de Bourg-en-Bresse,CA,01196,Jayat,86426
200071751,CA du Bassin de Bourg-en-Bresse,CA,01197,Journans,37286
240100883,CC de la Plaine de l'Ain,CC,01198,Joyeux,153945
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01199,Jujurieux,51846
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01200,Labalme,74647
240100883,CC de la Plaine de l'Ain,CC,01202,Lagnieu,99279
200070555,CC de la Veyle,CC,01203,Laiz,130157
200042935,CA Haut - Bugey Agglomération,CA,01204,Le Poizat-Lalleyriat,127701
200042935,CA Haut - Bugey Agglomération,CA,01206,Lantenay,59976
200069193,CC de la Dombes,CC,01207,Lapeyrouse,270511
200040350,CC Bugey Sud,CC,01208,Lavours,105603
240100750,CA du Pays de Gex,CA,01209,Léaz,120355
240100750,CA du Pays de Gex,CA,01210,Lélex,141947
200071751,CA du Bassin de Bourg-en-Bresse,CA,01211,Lent,32354
200071751,CA du Bassin de Bourg-en-Bresse,CA,01212,Lescheroux,232285
240100883,CC de la Plaine de l'Ain,CC,01213,Leyment,268754
200042935,CA Haut - Bugey Agglomération,CA,01214,Leyssard,40287
240100891,CC du Pays Bellegardien (CCPB),CC,01215,Surjoux-Lhopital,172574
240100883,CC de la Plaine de l'Ain,CC,01216,Lhuis,220570
240100883,CC de la Plaine de l'Ain,CC,01219,Lompnas,67580
240100883,CC de la Plaine de l'Ain,CC,01224,Loyettes,191040
200070118,CC Val de Saône Centre,CC,01225,Lurcy,122048
200040350,CC Bugey Sud,CC,01227,Magnieu,40491
200042935,CA Haut - Bugey Agglomération,CA,01228,Maillat,85314
200071751,CA du Bassin de Bourg-en-Bresse,CA,01229,Malafretaz,82161
200071751,CA du Bassin de Bourg-en-Bresse,CA,01230,Mantenay-Montlin,194175
200071371,CC Bresse et Saône,CC,01231,Manziat,150642
200071751,CA du Bassin de Bourg-en-Bresse,CA,01232,Marboz,43599
240100883,CC de la Plaine de l'Ain,CC,01233,Marchamp,129957
200040350,CC Bugey Sud,CC,01234,Marignieu,192291
200069193,CC de la Dombes,CC,01235,Marlieux,239957
200071751,CA du Bassin de Bourg-en-Bresse,CA,01236,Marsonnas,27901
200042935,CA Haut - Bugey Agglomération,CA,01237,Martignat,261334
200042497,CC Dombes Saône Vallée,CC,01238,Massieux,252696
200040350,CC Bugey Sud,CC,01239,Massignieu-de-Rives,109620
200042935,CA Haut - Bugey Agglomération,CA,01240,Matafelon-Granges,109484
200071751,CA du Bassin de Bourg-en-Bresse,CA,01241,Meillonnas,240844
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01242,Mérignat,12381
200070118,CC Val de Saône Centre,CC,01243,Messimy-sur-Saône,132213
240100883,CC de la Plaine de l'Ain,CC,01244,Meximieux,220426
200071751,CA du Bassin de Bourg-en-Bresse,CA,01245,Bohas-Meyriat-Rignat,6025
200070555,CC de la Veyle,CC,01246,Mézériat,121290
240100750,CA du Pays de Gex,CA,01247,Mijoux,288091
200069193,CC de la Dombes,CC,01248,Mionnay,286887
240100800,CC de Miribel et du Plateau,CC,01249,Miribel,284515
200042497,CC Dombes Saône Vallée,CC,01250,Misérieux,63839
200070118,CC Val de Saône Centre,CC,01252,Mogneneins,194828
200071751,CA du Bassin de Bourg-en-Bresse,CA,01254,Montagnat,125983
240100883,CC de la Plaine de l'Ain,CC,01255,Montagnieu,106847
240100891,CC du Pays Bellegardien (CCPB),CC,01257,Montanges,103635
200070118,CC Val de Saône Centre,CC,01258,Montceaux,144343
200071751,CA du Bassin de Bourg-en-Bresse,CA,01259,Montcet,38530
240100883,CC de la Plaine de l'Ain,CC,01260,Le Montellier,34784
200069193,CC de la Dombes,CC,01261,Monthieux,113649
240100610,CC de la Côtière à Montluel,CC,01262,Montluel,254124
200070118,CC Val de Saône Centre,CC,01263,Montmerle-sur-Saône,188507
200071751,CA du Bassin de Bourg-en-Bresse,CA,01264,Montracol,206371
200042935,CA Haut - Bugey Agglomération,CA,01265,Montréal-la-Cluse,151733
200071751,CA du Bassin de Bourg-en-Bresse,CA,01266,Montrevel-en-Bresse,273678
200042935,CA Haut - Bugey Agglomération,CA,01267,Nurieux-Volognat,75446
200040350,CC Bugey Sud,CC,01268,Murs-et-Gélignieux,275790
200042935,CA Haut - Bugey Agglomération,CA,01269,Nantua,278164
200069193,CC de la Dombes,CC,01272,Neuville-les-Dames,140071
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01273,Neuville-sur-Ain,122982
200042935,CA Haut - Bugey Agglomération,CA,01274,Les Neyrolles,278413
240100800,CC de Miribel et du Plateau,CC,01275,Neyron,82925
240100610,CC de la Côtière à Montluel,CC,01276,Niévroz,192094
240100883,CC de la Plaine de l'Ain,CC,01277,Nivollet-Montgriffon,20543
240100883,CC de la Plaine de l'Ain,CC,01279,Oncieu,124193
240100883,CC de la Plaine de l'Ain,CC,01280,Ordonnaz,190705
240100750,CA du Pays de Gex,CA,01281,Ornex,31211
200042935,CA Haut - Bugey Agglomération,CA,01282,Outriaz,105704
200042935,CA Haut - Bugey Agglomération,CA,01283,Oyonnax,225854
200071371,CC Bresse et Saône,CC,01284,Ozan,86023
200042497,CC Dombes Saône Vallée,CC,01285,Parcieux,194114
200040350,CC Bugey Sud,CC,01286,Parves et Nattages,281849
240100750,CA du Pays de Gex,CA,01288,Péron,182001
200071751,CA du Bassin de Bourg-en-Bresse,CA,01289,Péronnas,219631
240100883,CC de la Plaine de l'Ain,CC,01290,Pérouges,131243
200070555,CC de la Veyle,CC,01291,Perrex,274781
200042935,CA Haut - Bugey Agglomération,CA,01293,Peyriat,59541
200040350,CC Bugey Sud,CC,01294,Peyrieu,190192
200070118,CC Val de Saône Centre,CC,01295,Peyzieux-sur-Saône,178221
200071751,CA du Bassin de Bourg-en-Bresse,CA,01296,Pirajoux,42514
240100610,CC de la Côtière à Montluel,CC,01297,Pizay,154385
240100891,CC du Pays Bellegardien (CCPB),CC,01298,Plagne,202400
200069193,CC de la Dombes,CC,01299,Le Plantay,277643
200071751,CA du Bassin de Bourg-en-Bresse,CA,01301,Polliat,219852
200040350,CC Bugey Sud,CC,01302,Pollieu,244593
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01303,Poncin,99018
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01304,Pont-d'Ain,207182
200071371,CC Bresse et Saône,CC,01305,Pont-de-Vaux,163433
200070555,CC de la Veyle,CC,01306,Pont-de-Veyle,290719
200042935,CA Haut - Bugey Agglomération,CA,01307,Port,84910
240100750,CA du Pays de Gex,CA,01308,Pougny,156420
200071751,CA du Bassin de Bourg-en-Bresse,CA,01309,Pouillat,213739
200040350,CC Bugey Sud,CC,01310,Prémeyzel,104142
200042935,CA Haut - Bugey Agglomération,CA,01311,Prémillieu,275879
240100750,CA du Pays de Gex,CA,01313,Prévessin-Moëns,269225
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01314,Priay,103034
200071751,CA du Bassin de Bourg-en-Bresse,CA,01317,Ramasse,150757
200042497,CC Dombes Saône Vallée,CC,01318,Rancé,144146
200069193,CC de la Dombes,CC,01319,Relevant,280918
200071371,CC Bresse et Saône,CC,01320,Replonges,112485
200071751,CA du Bassin de Bourg-en-Bresse,CA,01321,Revonnas,209367
200042497,CC Dombes Saône Vallée,CC,01322,Reyrieux,225546
200071371,CC Bresse et Saône,CC,01323,Reyssouze,24840
240100883,CC de la Plaine de l'Ain,CC,01325,Rignieux-le-Franc,157623
200069193,CC de la Dombes,CC,01328,Romans,71629
200040350,CC Bugey Sud,CC,01329,Rossillon,20889
200040350,CC Bugey Sud,CC,01330,Ruffieu,131234
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01331,Saint-Alban,184012
200071371,CC Bresse et Saône,CC,01332,Saint-André-de-Bâgé,8318
200069193,CC de la Dombes,CC,01333,Saint-André-de-Corcy,20659
200070555,CC de la Veyle,CC,01334,Saint-André-d'Huiriat,282691
200069193,CC de la Dombes,CC,01335,Saint-André-le-Bouchoux,44344
200071751,CA du Bassin de Bourg-en-Bresse,CA,01336,Saint-André-sur-Vieux-Jonc,165101
200071371,CC Bresse et Saône,CC,01337,Saint-Bénigne,288053
200040350,CC Bugey Sud,CC,01338,Groslée-Saint-Benoit,249674
200042497,CC Dombes Saône Vallée,CC,01339,Saint-Bernard,234343
240100610,CC de la Côtière à Montluel,CC,01342,Sainte-Croix,14900
200070555,CC de la Veyle,CC,01343,Saint-Cyr-sur-Menthon,280472
200071751,CA du Bassin de Bourg-en-Bresse,CA,01344,Saint-Denis-lès-Bourg,56868
240100883,CC de la Plaine de l'Ain,CC,01345,Saint-Denis-en-Bugey,262600
200071751,CA du Bassin de Bourg-en-Bresse,CA,01346,Saint-Didier-d'Aussiat,8268
200042497,CC Dombes Saône Vallée,CC,01347,Saint-Didier-de-Formans,28888
200070118,CC Val de Saône Centre,CC,01348,Saint-Didier-sur-Chalaronne,116322
240100883,CC de la Plaine de l'Ain,CC,01349,Saint-Éloi,259121
200071751,CA du Bassin de Bourg-en-Bresse,CA,01350,Saint-Étienne-du-Bois,253018
200070118,CC Val de Saône Centre,CC,01351,Saint-Étienne-sur-Chalaronne,13033
200071371,CC Bresse et Saône,CC,01352,Saint-Étienne-sur-Reyssouze,241513
200042497,CC Dombes Saône Vallée,CC,01353,Sainte-Euphémie,58522
240100750,CA du Pays de Gex,CA,01354,Saint-Genis-Pouilly,199630
200070555,CC de la Veyle,CC,01355,Saint-Genis-sur-Menthon,198109
200069193,CC de la Dombes,CC,01356,Saint-Georges-sur-Renon,222637
240100891,CC du Pays Bellegardien (CCPB),CC,01357,Saint-Germain-de-Joux,21875
200040350,CC Bugey Sud,CC,01358,Saint-Germain-les-Paroisses,294742
200069193,CC de la Dombes,CC,01359,Saint-Germain-sur-Renon,65694
240100750,CA du Pays de Gex,CA,01360,Saint-Jean-de-Gonville,232525
240100883,CC de la Plaine de l'Ain,CC,01361,Saint-Jean-de-Niost,50850
200042497,CC Dombes Saône Vallée,CC,01362,Saint-Jean-de-Thurigneux,241217
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01363,Saint-Jean-le-Vieux,192696
200071751,CA du Bassin de Bourg-en-Bresse,CA,01364,Saint-Jean-sur-Reyssouze,19661
200070555,CC de la Veyle,CC,01365,Saint-Jean-sur-Veyle,49265
240100883,CC de la Plaine de l'Ain,CC,01366,Sainte-Julie,110014
200071751,CA du Bassin de Bourg-en-Bresse,CA,01367,Saint-Julien-sur-Reyssouze,237603
200070555,CC de la Veyle,CC,01368,Saint-Julien-sur-Veyle,154875
200071751,CA du Bassin de Bourg-en-Bresse,CA,01369,Saint-Just,245269
200070308,CA Mâconnais Beaujolais Agglomération,CA,01370,Saint-Laurent-sur-Saône,261216
200069193,CC de la Dombes,CC,01371,Saint-Marcel,207929
200040350,CC Bugey Sud,CC,01372,Saint-Martin-de-Bavel,11235
200042935,CA Haut - Bugey Agglomération,CA,01373,Saint-Martin-du-Frêne,117243
200071751,CA du Bassin de Bourg-en-Bresse,CA,01374,Saint-Martin-du-Mont,134229
200071751,CA du Bassin de Bourg-en-Bresse,CA,01375,Saint-Martin-le-Châtel,11578
240100800,CC de Miribel et du Plateau,CC,01376,Saint-Maurice-de-Beynost,187747
240100883,CC de la Plaine de l'Ain,CC,01378,Saint-Maurice-de-Gourdans,168091
240100883,CC de la Plaine de l'Ain,CC,01379,Saint-Maurice-de-Rémens,5261
200071751,CA du Bassin de Bourg-en-Bresse,CA,01380,Saint-Nizier-le-Bouchoux,197902
200069193,CC de la Dombes,CC,01381,Saint-Nizier-le-Désert,111326
200069193,CC de la Dombes,CC,01382,Sainte-Olive,225883
200069193,CC de la Dombes,CC,01383,Saint-Paul-de-Varax,213732
240100883,CC de la Plaine de l'Ain,CC,01384,Saint-Rambert-en-Bugey,251533
200071751,CA du Bassin de Bourg-en-Bresse,CA,01385,Saint-Rémy,58526
240100883,CC de la Plaine de l'Ain,CC,01386,Saint-Sorlin-en-Bugey,253833
200071751,CA du Bassin de Bourg-en-Bresse,CA,01387,Saint-Sulpice,103347
200071751,CA du Bassin de Bourg-en-Bresse,CA,01388,Saint-Trivier-de-Courtes,198561
200069193,CC de la Dombes,CC,01389,Saint-Trivier-sur-Moignans,28353
240100883,CC de la Plaine de l'Ain,CC,01390,Saint-Vulbas,284309
200071751,CA du Bassin de Bourg-en-Bresse,CA,01391,Salavre,113048
200042935,CA Haut - Bugey Agglomération,CA,01392,Samognat,40322
200069193,CC de la Dombes,CC,01393,Sandrans,80366
240100883,CC de la Plaine de l'Ain,CC,01396,Sault-Brénaz,155056
240100750,CA du Pays de Gex,CA,01397,Sauverny,73020
200042497,CC Dombes Saône Vallée,CC,01398,Savigneux,60044
240100750,CA du Pays de Gex,CA,01399,Ségny,138125
240100883,CC de la Plaine de l'Ain,CC,01400,Seillonnaz,110956
240100750,CA du Pays de Gex,CA,01401,Sergy,211411
200071371,CC Bresse et Saône,CC,01402,Sermoyer,16700
240100883,CC de la Plaine de l'Ain,CC,01403,Serrières-de-Briord,166828
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01404,Serrières-sur-Ain,41545
200071751,CA du Bassin de Bourg-en-Bresse,CA,01405,Servas,278304
200071751,CA du Bassin de Bourg-en-Bresse,CA,01406,Servignat,248845
200070852,CC Usses et Rhône,CC,01407,Seyssel,200750
200071751,CA du Bassin de Bourg-en-Bresse,CA,01408,Simandre-sur-Suran,248131
200042935,CA Haut - Bugey Agglomération,CA,01410,Sonthonnax-la-Montagne,204877
240100883,CC de la Plaine de l'Ain,CC,01411,Souclin,43758
200069193,CC de la Dombes,CC,01412,Sulignat,115857
200040350,CC Bugey Sud,CC,01415,Talissieu,114663
240100883,CC de la Plaine de l'Ain,CC,01416,Tenay,92535
240100800,CC de Miribel et du Plateau,CC,01418,Thil,144069
240100750,CA du Pays de Gex,CA,01419,Thoiry,135663
200070118,CC Val de Saône Centre,CC,01420,Thoissey,33563
240100883,CC de la Plaine de l'Ain,CC,01421,Torcieu,194111
200071751,CA du Bassin de Bourg-en-Bresse,CA,01422,Tossiat,60020
200042497,CC Dombes Saône Vallée,CC,01423,Toussieux,104071
240100800,CC de Miribel et du Plateau,CC,01424,Tramoyes,126485
200071751,CA du Bassin de Bourg-en-Bresse,CA,01425,La Tranclière,222037
200071751,CA du Bassin de Bourg-en-Bresse,CA,01426,Val-Revermont,60837
200042497,CC Dombes Saône Vallée,CC,01427,Trévoux,62619
200069193,CC de la Dombes,CC,01428,Valeins,65452
200071751,CA du Bassin de Bourg-en-Bresse,CA,01429,Vandeins,56625
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,01430,Varambon,58081
240100883,CC de la Plaine de l'Ain,CC,01431,Vaux-en-Bugey,111115
200071751,CA du Bassin de Bourg-en-Bresse,CA,01432,Verjon,177041
200071751,CA du Bassin de Bourg-en-Bresse,CA,01433,Vernoux,111326
200069193,CC de la Dombes,CC,01434,Versailleux,32583
240100750,CA du Pays de Gex,CA,01435,Versonnex,135287
240100750,CA du Pays de Gex,CA,01436,Vesancy,46177
200071751,CA du Bassin de Bourg-en-Bresse,CA,01437,Vescours,156053
200071371,CC Bresse et Saône,CC,01439,Vésines,224456
200042935,CA Haut - Bugey Agglomération,CA,01441,Vieu-d'Izenave,17584
200069193,CC de la Dombes,CC,01443,Villars-les-Dombes,6757
240100883,CC de la Plaine de l'Ain,CC,01444,Villebois,9273
200071751,CA du Bassin de Bourg-en-Bresse,CA,01445,Villemotier,257791
200042497,CC Dombes Saône Vallée,CC,01446,Villeneuve,177810
200071751,CA du Bassin de Bourg-en-Bresse,CA,01447,Villereversure,173681
240100891,CC du Pays Bellegardien (CCPB),CC,01448,Villes,24754
200069193,CC de la Dombes,CC,01449,Villette-sur-Ain,283020
240100883,CC de la Plaine de l'Ain,CC,01450,Villieu-Loyes-Mollon,128753
200071751,CA du Bassin de Bourg-en-Bresse,CA,01451,Viriat,269941
200040350,CC Bugey Sud,CC,01452,Virieu-le-Grand,239414
200040350,CC Bugey Sud,CC,01453,Arvière-en-Valromey,225440
200040350,CC Bugey Sud,CC,01454,Virignin,93448
200040350,CC Bugey Sud,CC,01456,Vongnes,163208
